"",20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500
79,118.52,113.74,109.12,104.78,101.14,97.75,94.52,91.79,89.37,87.05,85.12,83.47,82.02,80.77,79.92,79.21,78.68,79.01,81.47,82.71,79.56,76.85,76.04,77.28,80.58,85.79,90.42,90.81,84.57
80,118.99,114.23,109.65,105.34,101.72,98.36,95.17,92.48,90.09,87.82,85.92,84.31,82.89,81.68,80.86,80.17,79.67,80.01,82.48,83.74,80.59,77.88,77.07,78.31,81.62,86.81,91.41,91.74,85.41
81,119.46,114.73,110.17,105.89,102.30,98.98,95.82,93.17,90.81,88.58,86.71,85.14,83.77,82.59,81.80,81.14,80.66,81.01,83.50,84.77,81.62,78.91,78.11,79.35,82.65,87.83,92.39,92.66,86.24
82,119.93,115.23,110.69,106.44,102.89,99.59,96.47,93.85,91.53,89.34,87.51,85.98,84.64,83.50,82.74,82.11,81.65,82.01,84.52,85.79,82.65,79.95,79.14,80.38,83.69,88.85,93.38,93.59,87.08
83,120.41,115.72,111.22,107.00,103.47,100.21,97.13,94.54,92.25,90.10,88.31,86.81,85.51,84.40,83.68,83.07,82.63,83.01,85.53,86.82,83.68,80.98,80.17,81.42,84.72,89.87,94.36,94.51,87.91
84,120.88,116.22,111.74,107.55,104.05,100.82,97.78,95.22,92.97,90.86,89.11,87.65,86.38,85.31,84.62,84.04,83.62,84.01,86.55,87.84,84.71,82.01,81.20,82.45,85.76,90.89,95.35,95.44,88.74
85,121.35,116.72,112.27,108.10,104.64,101.44,98.43,95.91,93.69,91.63,89.91,88.48,87.25,86.22,85.55,85.01,84.61,85.01,87.57,88.87,85.74,83.03,82.23,83.49,86.79,91.92,96.33,96.36,89.58
86,121.82,117.21,112.79,108.66,105.22,102.06,99.08,96.59,94.41,92.39,90.70,89.31,88.12,87.13,86.49,85.97,85.60,86.01,88.58,89.90,86.77,84.06,83.26,84.52,87.83,92.94,97.32,97.29,90.41
87,122.29,117.71,113.31,109.21,105.80,102.67,99.73,97.28,95.13,93.15,91.50,90.15,88.99,88.04,87.43,86.94,86.59,87.01,89.60,90.92,87.80,85.09,84.29,85.56,88.86,93.96,98.30,98.21,91.25
88,122.76,118.21,113.84,109.76,106.38,103.28,100.37,97.96,95.85,93.91,92.30,90.98,89.86,88.94,88.37,87.90,87.58,88.01,90.61,91.95,88.83,86.12,85.32,86.59,89.89,94.98,99.29,99.14,92.08
89,123.23,118.70,114.36,110.31,106.96,103.90,101.02,98.65,96.57,94.67,93.09,91.81,90.73,89.85,89.31,88.87,88.57,89.01,91.63,92.97,89.86,87.15,86.35,87.63,90.93,96.00,100.28,100.06,92.91
90,123.71,119.20,114.88,110.87,107.55,104.51,101.67,99.33,97.29,95.43,93.89,92.65,91.60,90.76,90.24,89.84,89.55,90.01,92.65,94.00,90.88,88.18,87.38,88.66,91.96,97.02,101.26,100.99,93.75
